序号,选课编号,课程代码,课程名称,教学班号,学分,性质,开课院系,教师,职称,时间地点,优选,状态,校区,选课名单,学期
1,SC20260001,CS101,Python程序设计,01,3,专业必修,计算机学院,李明,讲师,周一1-2节 A101,否,正常,主校区,查看,2025-2026-2
2,SC20260002,CS102,数据分析基础,01,2,专业选修,计算机学院,王芳,副教授,周二3-4节 B203,是,正常,主校区,查看,2025-2026-2
3,SC20260003,AI201,机器学习导论,01,3,专业选修,人工智能学院,周强,教授,周三5-6节 C305,否,正常,东校区,查看,2025-2026-2
4,SC20260004,SE110,软件工程基础,02,2,专业必修,软件学院,吴静,讲师,周四1-2节 D201,否,正常,主校区,查看,2025-2026-2
5,SC20260005,DS210,数据库原理,01,3,专业必修,数据科学学院,赵敏,副教授,周一5-6节 B205,是,正常,东校区,查看,2025-2026-2
6,SC20260006,GE101,大学英语,08,2,公共必修,外国语学院,陈晨,讲师,周五1-2节 E101,否,正常,主校区,查看,2025-2026-2
7,SC20260007,MA101,高等数学,05,4,公共必修,基础教学部,孙磊,副教授,周二1-2节 A301,否,正常,主校区,查看,2025-2026-2
8,SC20260008,CS103,Web数据采集,01,2,专业选修,计算机学院,李明,讲师,周三3-4节 A205,是,正常,主校区,查看,2025-2026-2
9,SC20260009,AI202,深度学习基础,01,3,专业选修,人工智能学院,何欣,副教授,周四5-6节 C401,否,正常,东校区,查看,2025-2026-2
10,SC20260010,DS220,数据可视化,01,2,专业选修,数据科学学院,王芳,副教授,周五3-4节 B306,是,正常,东校区,查看,2025-2026-2
11,SC20260011,PE101,大学体育,12,1,公共必修,体育教学部,高远,讲师,周一7-8节 体育馆,否,正常,主校区,查看,2025-2026-2
12,SC20260012,CS102,数据分析基础,02,2,专业选修,计算机学院,王芳,副教授,周二7-8节 B203,是,正常,主校区,查看,2025-2026-2
